关卡ID,关卡名称,随机元素种类（至少3色）,消除目标,关卡步数,3星要求,金币奖励,棋盘形状64位掩码,首次通关道具奖励
number,string,string,string,number,string,string,string,string
ID,name,cakes,targets,limit,stars,golds,boardMask,propReward
1,1,cake09|cake10|cake01,cake09-5,8,150|300|450,25|25|50,0111111011111111111111111111111111111111111111111111111101111110,random:1
2,2,cake02|cake04|cake05|cake07|cake06|cake08|cake01|cake03,cake02-5,8,150|300|450,25|25|50,0011110000111100111111111111111111111111111111110011110000111100,random:1
3,3,cake01|cake05|cake07|cake06|cake08|cake04|cake03|cake02,cake01-5,8,150|300|450,25|25|50,1100001111000011110000111111111111111111110000111100001111000011,random:1
4,4,cake05|cake08|cake04|cake07|cake01|cake02|cake03|cake06,cake05-5,8,150|300|450,25|25|50,1111000011110000111100000000000000000000000011110000111100001111,random:1
5,5,cake01|cake06|cake02|cake03|cake05|cake08|cake07|cake04,cake01-5,8,150|300|450,25|25|50,1111000011110000111100000000000000000000000011110000111100001111,random:1
6,6,cake04|cake06|cake08|cake07|cake03|cake02|cake05|cake01,cake04-5,8,150|300|450,25|25|50,0111111000111100000110000001100000011000000110000011110001111110,random:1
7,7,cake03|cake04|cake01|cake07|cake02|cake05|cake06|cake08,cake03-5,8,150|300|450,25|25|50,0011110001111110111111111110011111100111111111110111111000111100,random:1
8,8,cake08|cake06|cake01|cake05|cake02|cake03|cake07|cake04,cake08-5,8,150|300|450,25|25|50,0011110001111110111111111110011111100111111111110111111000111100,random:1
9,9,cake05|cake08|cake02|cake04|cake01|cake07|cake03|cake06,cake05-5,8,150|300|450,25|25|50,0001100000111100011111101111111111111111011111100011110000011000,random:1
10,10,cake02|cake03|cake08|cake01|cake05|cake04|cake06|cake07,cake02-5,8,150|300|450,25|25|50,0111111011111111111111111111111111111111111111111111111101111110,random:1
11,11,cake04|cake02|cake01|cake08|cake05|cake06|cake03|cake07,cake04-5,8,150|300|450,25|25|50,0111111000111100000110000001100000011000000110000011110001111110,random:1
12,12,cake02|cake05|cake08|cake01|cake03|cake04|cake06|cake07,cake02-5,8,150|300|450,25|25|50,1111111111111111111111111111111111111111111111111111111111111111,random:1
13,13,cake07|cake01|cake03|cake08|cake04|cake06|cake02|cake05,cake07-5,8,150|300|450,25|25|50,1111111111111111111111111111111111111111111111111111111111111111,random:1
14,14,cake04|cake01|cake07|cake08|cake06|cake03|cake05|cake02,cake04-5,8,150|300|450,25|25|50,0011110001111110111111111110011111100111111111110111111000111100,random:1
15,15,cake07|cake02|cake01|cake08|cake05|cake03|cake06|cake04,cake07-5,8,150|300|450,25|25|50,0011110000111100111111111111111111111111111111110011110000111100,random:1
16,16,cake08|cake06|cake04|cake02|cake05|cake01|cake03|cake07,cake08-5,8,150|300|450,25|25|50,0001100000111100011111101111111111111111011111100011110000011000,random:1
17,17,cake03|cake06|cake05|cake04|cake01|cake07|cake08|cake02,cake03-5,8,150|300|450,25|25|50,1100001111000011110000111111111111111111110000111100001111000011,random:1
18,18,cake05|cake04|cake06|cake01|cake02|cake08|cake03|cake07,cake05-5,8,150|300|450,25|25|50,1100001111000011110000111111111111111111110000111100001111000011,random:1
19,19,cake03|cake06|cake04|cake05|cake02|cake07|cake08|cake01,cake03-5,8,150|300|450,25|25|50,1111111111111111111111111111111111111111111111111111111111111111,random:1
20,20,cake01|cake02|cake08|cake05|cake03|cake07|cake04|cake06,cake01-5,8,150|300|450,25|25|50,0111111000111100000110000001100000011000000110000011110001111110,random:1
21,21,cake02|cake01|cake08|cake05|cake03|cake04|cake06|cake07,cake02-5,8,150|300|450,25|25|50,0111111011111111111111111111111111111111111111111111111101111110,random:1
22,22,cake05|cake04|cake08|cake07|cake03|cake01|cake02|cake06,cake05-5,8,150|300|450,25|25|50,1111111111111111111111111111111111111111111111111111111111111111,random:1
23,23,cake02|cake01|cake04|cake05|cake03|cake08|cake06|cake07,cake02-5,8,150|300|450,25|25|50,0111111000111100000110000001100000011000000110000011110001111110,random:1
24,24,cake08|cake07|cake06|cake03|cake01|cake02|cake05|cake04,cake08-5,8,150|300|450,25|25|50,0001100000111100011111101111111111111111011111100011110000011000,random:1
